tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
3246,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,202,Firestorm Red Angel,WharfeBank,Amber Ale,5 %,0
126,Jumping Cow Amber Ale,Steinhaus Brewing Co. .,American Amber / Red Ale,5.50 %,1121,Horse Heaven Hills Mustang Red,Horse Heaven Hills Brewery,Amber Ale,-,0
2810,Peak 6,Breckenridge Brewery,American Amber / Red Ale,-,1686,Olivers Shot Down in Flames,Oliver Breweries,English Strong Ale,8 %,0
382,Deranger Imperial Red,Laurelwood Public House & Brewery,American Amber / Red Ale,8.50 %,1360,Muckish Mountain Miner_s Red,Muckish Mountain,Irish Ale,-,0
4222,Barrel Aged Devil 's Spear,18th Street Brewery,American Barleywine,-,1852,Dieu du Ciel Clef des Champs,Dieu du Ciel,Traditional Ale,5 %,0
1165,Devil 's Backbone,Kinnegar Brewing Company,American Amber / Red Ale,4.50 %,304,Alpha Golden Nugget Pale Ale,Alpha Brewing Company,American Pale Ale,5 %,0
3800,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 %,2146,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 %,1
3825,Sore Amber,Intracoastal Brewing Company,American Amber / Red Ale,5.50 %,1047,Queens Head Fuggles Red Ale,Queens Head &#40; UK &#41;,Amber Ale,5.90 %,0
651,Moonrise Amber,Firefly Hollow Brewing Co. .,American Amber / Red Ale,6.30 %,2015,Ringneck Red Alert Amber,The Brew Kettle,Amber Ale,5.30 %,0
3151,Taildragger _ ™ s Tuskegee Red Tail,Saddle Mountain Brewing Company,American Amber / Red Ale,-,2391,Town Hall Twisted Reality Barleywine,Minneapolis Town Hall Brewery,Barley Wine,10.98 %,0
2976,Aggie Amber Ale,De La Vega 's Pecan Grill & Brewery,American Amber / Red Ale,5.20 %,2962,4 Brothers Blended Beer Sibling Rivalry,Sand Creek Brewing Company,Amber Ale,4.70 %,0
2032,Redhorse Ale,Angry Minnow Brewpub,American Amber / Red Ale,-,1204,Bull City / Fullsteam / Triangle CollaBEERation : Trinity,Bull City Burger and Brewery,Spice/Herb/Vegetable,6 %,0
3393,Jessica Rabbit Red Ale,Funky Buddha Brewery,American Amber / Red Ale,-,2689,Ei8ht Ball Red Drink,Ei8ht Ball Brewing,Imperial IPA,7.50 %,0
3069,Vadia Export,Cerveja Vadia,American Amber / Red Ale,8.50 %,1741,Free State The Vortex Red,Free State Brewing Company,Amber Ale,6.10 %,0
2481,Notting Hill Amber,Moncada Brewery Ltd,American Amber / Red Ale,4.70 %,192,Coombe Martin Hangmans Bitter,Combe Martin,Premium Bitter/ESB,4.50 %,0
2700,British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 %,1380,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery,Scottish Ale,7.40 %,1
922,Whistle Stop Amber,Johansson 's Dining House,American Amber / Red Ale,5.30 %,2375,Bills Foggy Notion Weissbier,Bills Tavern and Brewhouse,German Hefeweizen,-,0
1160,Henry Hudson 's Bale House Ale,Big Rock Brewery,American Amber / Red Ale,9.70 %,2518,American Old Glory Barleywine,American Brewing Company,Barley Wine,10.50 %,0
4016,AleSmith Old Numbskull,AleSmith Brewing Company,American Barleywine,11.00 %,1996,Amsterdam Brewboys Hop Riot Amber Ale,De Noord-Hollandse Bierbrouwerij,Amber Ale,4.60 %,0
369,Beach House,Strand Brewing Co. .,American Amber / Red Ale,5.10 %,2479,Birra del Borgo Sedicigradi,Birra del Borgo,Barley Wine,16 %,0
2202,Foreign Affair,Carlow Brewing Company,American Amber / Red Ale,4.80 %,744,Bootjesbier,Antwerpse Brouw Compagnie,Amber Ale,7 %,0
104,Marble Red Ale,Marble Brewery,American Amber / Red Ale,6.50 %,1170,Buffys Garnet,Buffys,Premium Bitter/ESB,4.80 %,0
2548,Rocket Science Red Planet,Dennis Beer Co. .,American Amber / Red Ale,6.40 %,250,Assawoman Bay Coastal Edge Copper,Assawoman Bay Brewing Company,Amber Ale,6.04 %,0
546,Broad Brook Ale,Broad Brook Brewing Company,American Amber / Red Ale,6.10 %,2837,4 Noses The Rambler,4 Noses Brewing Company,Spice/Herb/Vegetable,5.10 %,0
122,Austin Amber Ale,Independence Brewing Co. .,American Amber / Red Ale,4.80 %,1036,Intuition Ale Works Jesses Girl,Intuition Ale Works,Abt/Quadrupel,9 %,0
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %,1784,Solemn Oath Man vs. Internet vs. Mothra,Solemn Oath Brewery,Belgian Strong Ale,9 %,0
1211,Black Forest Grateful Red,Black Forest Brew Haus & Grill,American Amber / Red Ale,5.00 %,1100,Southern Star Red Cockaded Ale,Southern Star Brewing Company,Imperial IPA,8.50 %,0
622,Heart O ' Texas,Four Corners Brewing Company,American Amber / Red Ale,6.20 %,297,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery,American Strong Ale,7.50 %,0
2987,Red Sun,Mad Hops,American Amber / Red Ale,5.40 %,791,Sun Up Armadillo Red Ale,Sun Up Brewing Company &#40; Sonora Brewhouse &#41;,Amber Ale,5.20 %,0
1452,Johnny Octane,Panhead Custom Ales,American Amber / Red Ale,8.00 %,2106,Neath Witch Hunter,Neath,Bitter,4.20 %,0
1886,Brewlette,Iron Horse Brewery,American Amber / Red Ale,-,1380,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery,Scottish Ale,7.40 %,0
2600,Red October,Red Ear Brewing Company,American Amber / Red Ale,6.90 %,2862,Kroghs Alpine Glow Red Ale,Kroghs Restaurant & Brew Pub,Amber Ale,4.50 %,0
1264,The Huntsman,Barley Mow Brewing Company,American Amber / Red Ale,7.00 %,1221,Wild Ride 3 Sisters American Red Ale,Wild Ride Brewing,Amber Ale,6 %,0
2575,Mulligan,Old Soul Brewing,American Amber / Red Ale,6.20 %,1156,Bad Weather Windvane Minnesota Red Ale,Lucid Brewing Company,Amber Ale,6 %,0
3016,Stadin Red Ale,Stadin Panimo,American Amber / Red Ale,5.60 %,275,Goldstone Old Charmer,Goldstone,Golden Ale/Blond Ale,4.10 %,0
2340,Mustang Red,Horse Heaven Hills Brewery,American Amber / Red Ale,6.00 %,469,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber Ale,6.50 %,0
284,Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %,1798,Barba Roja Barrel Aged Red Ale,Barba Roja de Anapa,American Strong Ale,9 %,0
2060,Last Call,Blue Blood Brewery,American Amber / Red Ale,8.00 %,1211,Bristol Mass Transit Ale,Bristol Brewing Company,Amber Ale,5 %,0
1648,Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,571,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,1
1157,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,155,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,1
2378,Ace In The Hole,Barnstormer Brewing & Pizzeria,American Amber / Red Ale,5.80 %,2638,Mickey Finns Abana Amber Ale,Mickey Finns Brewery & Pub,Amber Ale,5.60 %,0
3468,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,1921,Chapman_s Red RYEding Hood,Chapman_s Brewing Company,Specialty Grain,10 %,1
3907,Ankerla Kolonial Red Ale,Brauerei Gasthof AnkerbrÃ $ u,American Amber / Red Ale,7.00 %,1638,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,0
1460,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 %,412,Haines Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5 %,1
3917,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,2224,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,1
1967,MiracAle,Dry City Brew Works,American Amber / Red Ale,4.00 %,792,Equinox Borealis Winter Ale,Equinox Brewing,Belgian Ale,7 %,0
2571,Island Of Misfit Hops # 1,Medusa Brewing Company,American Amber / Red Ale,7.40 %,2531,Amicas Infinite Search,Amicas Pizza & Microbrew,Imperial Stout,12 %,0
245,American Ale,Thimble Island Brewing Company,American Amber / Red Ale,5.00 %,479,Congregation Communion Chile Red,Congregation Ales,Spice/Herb/Vegetable,6.90 %,0
3702,Rocket Fuel,Biloba Brewing Company,American Amber / Red Ale,-,794,Earth Eagle Chillaxico,Earth Eagle Brewings,Traditional Ale,5.80 %,0
1342,Harvard Honey Ale,Wigram Brewing Co,American Amber / Red Ale,6.00 %,2436,Burnt Hickory Killdozer 12 Point Buck Ale,Burnt Hickory Brewery,Barley Wine,13 %,0
2343,Redcoat Red,Third State Brewing,American Amber / Red Ale,5.50 %,1014,Milwaukee Ale House Scooter Ale,Milwaukee Ale House,Amber Ale,-,0
3181,Tokyo Ale No. 3,Tokyo Brewing Company,American Amber / Red Ale,-,253,Cambridge Red God IPA,Cambridge Brewing Company,Imperial IPA,9 %,0
476,Barnstormer Red,Blackhorse Pub & Brewery,American Amber / Red Ale,-,2199,Iechyd Da Main Drag Amber,Iechyd Da Brewing Company,Amber Ale,5.50 %,0
3634,Extra Red With Chipotle,Ritual Brewing Co. .,American Amber / Red Ale,7.20 %,1946,At Large Alibi Amber,At Large Brewing,Amber Ale,6.30 %,0
524,Segua,Costa Rica 's Craft Brewing Co. .,American Amber / Red Ale,5.00 %,2793,Champion Red Scare Imperial Stout,Champion Brewing Company,Imperial Stout,9 %,0
3909,Honey I Shrunk The Figs,Ambitious Ales,American Amber / Red Ale,6.50 %,1785,Main Seidla Amber Spezial,Brauhaus Binkert / Main Seidla,Amber Ale,5.50 %,0
3931,Weekender Amber Ale,Stilt House Brewery,American Amber / Red Ale,5.70 %,2548,Beer Works Victory Red,Beer Works,Amber Ale,5 %,0
3841,RÃ ¶ da Havet Red Ale,Eskilstuna _ lkultur,American Amber / Red Ale,5.40 %,2583,Howe Sound Three Beavers Imperial Red Ale,Howe Sound Brewing,American Strong Ale,7.50 %,0
2662,5th Anniversary Ale,Round Guys Brewing Company,American Amber / Red Ale,6.80 %,1453,1816 The Peak,1816 - Birrificio Livigno,India Pale Ale &#40; IPA &#41;,6.30 %,0
816,Pinata Protest,Freetail Brewing Company,American Amber / Red Ale,6.00 %,2731,Granville Island Swing Span Amber Ale,Granville Island &#40; Brewery - MolsonCoors &#41;,Amber Ale,5.60 %,0
4157,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 %,2405,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,Barley Wine,9 %,1
3889,Wild Beast Amber Ale,Wild Beast Brewery,American Amber / Red Ale,6.00 %,280,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company,Amber Ale,7.20 %,0
3858,Diwall AmbrÃ © e,Distillerie Warenghem,American Amber / Red Ale,6.00 %,2367,Equinox Entropycal Red IPA,Equinox Brewing,India Pale Ale &#40; IPA &#41;,6.10 %,0
890,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,2580,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,1
2267,Stone Liberty Station / Bridge Road Brewers Red Stone Road,Stone Brewing Co. .,American Amber / Red Ale,4.80 %,2176,Innovation Brew Works Rubottom_s Red,Innovation Brew Works,Amber Ale,5 %,0
3998,May-Bee,Dorset Brewing Company,American Amber / Red Ale,4.80 %,1727,George Killian_s Irish Red,Coors Brewing Company &#40; MillerCoors &#41;,Amber Lager/Vienna,4.90 %,0
2326,Experiment # 1001-B4,Living The Dream Brewing Co. .,American Amber / Red Ale,6.20 %,2076,Deep Creek Little Armoured One,Deep Creek Brewing Co,Amber Ale,5.70 %,0
2759,Rampart Red,Refuge Brewery,American Amber / Red Ale,6.20 %,2468,Walking Man Bourbon Barrel Old Stumblefoot,Walking Man Brewing,Barley Wine,13 %,0
567,Red Thistle Ale,Golden Valley Brewery and Pub,American Amber / Red Ale,5.40 %,1314,Great Storm Brass Ale Honey Amber,Great Storm Brewing,Amber Ale,6.30 %,0
1798,Sugar Wood,SoMe Brewing Company,American Amber / Red Ale,5.50 %,652,Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6 %,0
2689,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 %,1373,Hearthstone Red Rye Ale,Hearthstone Brewery,Specialty Grain,5 %,1
2673,Miner 's Red,Placerville Brewing Co. .,American Amber / Red Ale,-,63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,0
480,Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,5.65 %,2576,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 %,1
1771,Wait For It !,Brouwerij De Molen,American Amber / Red Ale,5.50 %,658,Northport Morazon Amber,Northport Brewing,Amber Ale,5.50 %,0
3252,Santa 's Sack,The Funky Bow Brewery & Beer Company,American Amber / Red Ale,9.00 %,2135,Blackwater Art Deco,Salopian,Golden Ale/Blond Ale,4.20 %,0
192,Red Mo Ale,Otto 's Pub and Brewery,American Amber / Red Ale,5.00 %,630,Modernist Stockholm Syndrome,Modernist Brewery,Amber Ale,6 %,0
3383,HOPe Bohemic,HOPe Artesana,American Amber / Red Ale,6.00 %,2902,Rip Current Raked Over Red,Rip Current Brewing,Amber Ale,7 %,0
3460,Starshine Ginger Bier,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,4.25 %,1824,10 Barrel Frosty_s Revenge,10 Barrel Brewing &#40; AB InBev &#41;,Belgian Strong Ale,7 %,0
2687,Maltz & Waltz,De Garve,American Amber / Red Ale,5.00 %,2710,Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 %,0
1603,Swan Lake Amber Ale,Hyouko Yashiki No Mori Brewery,American Amber / Red Ale,5.00 %,1995,Charlevoix CuvÃ © e Les Petits Brasseurs,Microbrasserie Charlevoix / Le Saint Pub,Amber Ale,5.20 %,0
215,Kona Brown,Perrin Brewery,American Amber / Red Ale,5.50 %,1714,Flying Fish Pescade Rojo Grande,Flying Fish Brewing Company,American Strong Ale,9 %,0
617,Hellion,TRVE Brewing Co. .,American Amber / Red Ale,3.50 %,2219,Catawba Valley REDiculous Red IPA,Catawba Valley Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,0
2308,880 Red Ale,Escape Brewing Company,American Amber / Red Ale,-,2306,East End Gratitude,East End Brewing Company,Barley Wine,11.50 %,0
3039,Notting Hill Red,Moncada Brewery Ltd,American Amber / Red Ale,6.00 %,1027,Beaver Island Fabulous Armadillo Session IPA,Beaver Island Brewing Company,Session IPA,4.70 %,0
2483,Legendary Amber,Pigskin Brewing Company,American Amber / Red Ale,-,1384,Broadhead The Amarillo Chainsaw Massacre,Broadhead Brewing Company,India Pale Ale &#40; IPA &#41;,5 %,0
2726,Road Rider,Oblivion Brewing Co. .,American Amber / Red Ale,5.90 %,51,RJ King Wingwalker Winter Brew &#40; -2007 &#41;,City Brewery &#40; Melanie Brewing Co &#41;,Amber Ale,-,0
2214,Heart & Sole,ShuBrew,American Amber / Red Ale,-,1937,Indianapolis Duesseldorfer Amber Ale,Indianapolis Brewing Co. .,Amber Ale,-,0
1383,Nestor Grade,Castle Danger Brewery,American Amber / Red Ale,7.00 %,1105,Wensky Saci American Amber Ale,Wensky Beer,Amber Ale,5.10 %,0
1039,Side Car,Sierra Nevada Brewing Co. .,American Amber / Red Ale,5.60 %,1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
2580,Firefall Red,Tioga-Sequoia Brewing Company,American Amber / Red Ale,5.50 %,2412,Cahaba Liquidambar Amber Ale,Cahaba Brewing Company,Amber Ale,5.50 %,0
1064,Sixth Anniversary Imperial Red,Freetail Brewing Company,American Amber / Red Ale,6.60 %,2229,Buxton Red Point IPA,Buxton,Amber Ale,7.50 %,0
1905,Atomic Amber : Honey Hypothesis,Empirical Brewery,American Amber / Red Ale,6.80 %,637,Fulton MPLS Mild - Charred Cherrywood,Fulton Beer Company,Mild Ale,4 %,0
2331,Schwag,Gravity Brewing,American Amber / Red Ale,4.80 %,2999,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,0
2770,Road Rash Red,Tandem Brewing Company,American Amber / Red Ale,6.00 %,507,WAB Custom Blonde,Woodward Avenue Brewers,Pale Lager,5 %,0
2452,Point Reyes Amber,MalmÃ ¶ Brewing Co,American Amber / Red Ale,4.90 %,749,El Toro Black Raspberry Ale,El Toro Brewing Co. .,Fruit Beer,4 %,0
2131,AmbrÃ © e-BiÃ ¨ re De Saint Louis,BiÃ ¨ res De Saint-Louis,American Amber / Red Ale,5.80 %,2174,21st Amendment Bitter American,Cold Spring Brewery,Session IPA,4.40 %,0
3751,Red Galaxy Ale,Yaletown Brewing Co. .,American Amber / Red Ale,5.00 %,156,Elk Rock Velvet Antler Amber Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Amber Ale,4 %,0
1358,501 Red Ale,Sweet Mullets Brewing Co. .,American Amber / Red Ale,5.50 %,1407,Chapelle NorthmÃ ¦ n AmbrÃ © e,la Chapelle,BiÃ ¨ re de Garde,5 %,0
3654,Miss Scarlett,Salty Nut Brewery,American Amber / Red Ale,7.00 %,476,Northampton Clifford,Northampton Brewery &#40; MA &#41;,Amber Ale,5.40 %,0
